一-个-人|tsit8-e1-lang5
一-个-月|tsit8-ko1-gueh4
一-个|tsit8-e7
一-隻|tsit8-tsiah8
一-句-來-一-句-去|tsit8-ku3-lai5-tsit8-ku3-khi3
一-來|it4-lai7
二-來|li7-lai7
人-揳-人|lang5-kheh4-lang5
佗-位|to7-ui5
作-穡|tso3-sik4
倒-的-倒|toh4-e7-to2
偏-偏|phenn5-phenn1
做-過|tso3-kue3
健-康|kian3-khong1
入-去|jip8-khi2
入-來-到|jip8-lai5-kau3
入-來|jip4-lai7
公-務-員|kong1-bu7-guan5
出-世|tshut4-si7
出-價|tshut4-ke3
出-入|tshut4-jip4
出-來|tshut8-lai7
出-來|tshut8-lai7
剉-柴|tsho3-tsha5
割-稻-仔|kua3-tiu5-a2
割-稻-仔|kua3-tiu5-a2
努-力|loh8-lik8
厚-毛|kau3-moo1
厝-邊|tshu5-pinn1
厝-裡|tshu3-li7
去-過|khi2-kue3
古-味|koo2-bi7
台-南|tai5-lam7
台-北|tai7-pak4
告-辭|ko3-si7
咱-的|lan2-e7
塔-山|thah4-san2
外-外-外|pai3-gua7-gua7
大-學|tai7-hak4
好-料-的|ho2-liau5-e5
存-款|tsun7-khuan2
家-庭-計-劃|ka7-ting7-ke3-ue5
就-是|to7-si7
尾-仔|bue2-a7
山-地-文-化|suann5-te7-bun5-hua3
山-峰|suann1-hong1
差-不-多|tsha5-put8-to1
市-仔|tshi7-a2
帽-仔|bo5-ah4
平-時-仔|ping1-si5-a2
庄-裡|tsng1-li7
庄-裡|tsng1-li7
彼-个|hit4-leh4
彼-个|hit4-leh4
彼-个|hit4-leh4
彼-是|he2-si7
彼-當-陣|hit4-tang1-tsun7
彼-陣|hit4-tsun5
彼-隻|hit4-tsiah8
怪-老-子|kuai3-noo2-tsu2
感-恩-知-報|kam2-un1-ti7-po3
應-該|ing2-kai1
成-百-年|tsiann3-pah4-ni5
成-禮-拜|tsiann3-le2-pai3
才-是|tsiah8-si7
才-有|tsiah8-u7
才-有|tsiah8-u7
